.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi
NA,ACTUAL,actual,2015-01-01T00:00:00Z,7661,NA,NA
NA,ACTUAL,actual,2015-02-01T00:00:00Z,5153,NA,NA
NA,ACTUAL,actual,2015-03-01T00:00:00Z,6491,NA,NA
NA,ACTUAL,actual,2015-04-01T00:00:00Z,5789,NA,NA
NA,ACTUAL,actual,2015-05-01T00:00:00Z,6016,NA,NA
NA,ACTUAL,actual,2015-06-01T00:00:00Z,6181,NA,NA
NA,ACTUAL,actual,2015-07-01T00:00:00Z,6494,NA,NA
NA,ACTUAL,actual,2015-08-01T00:00:00Z,5809,NA,NA
NA,ACTUAL,actual,2015-09-01T00:00:00Z,5927,NA,NA
NA,ACTUAL,actual,2015-10-01T00:00:00Z,5778,NA,NA
NA,ACTUAL,actual,2015-11-01T00:00:00Z,4735,NA,NA
NA,ACTUAL,actual,2015-12-01T00:00:00Z,5618,NA,NA
NA,ACTUAL,actual,2016-01-01T00:00:00Z,4416,NA,NA
NA,ACTUAL,actual,2016-02-01T00:00:00Z,3851,NA,NA
NA,ACTUAL,actual,2016-03-01T00:00:00Z,4843,NA,NA
NA,ACTUAL,actual,2016-04-01T00:00:00Z,4202,NA,NA
NA,ACTUAL,actual,2016-05-01T00:00:00Z,4076,NA,NA
NA,ACTUAL,actual,2016-06-01T00:00:00Z,4200,NA,NA
NA,ACTUAL,actual,2016-07-01T00:00:00Z,4684,NA,NA
NA,ACTUAL,actual,2016-08-01T00:00:00Z,4400,NA,NA
NA,ACTUAL,actual,2016-09-01T00:00:00Z,4194,NA,NA
NA,ACTUAL,actual,2016-10-01T00:00:00Z,3444,NA,NA
NA,ACTUAL,actual,2016-11-01T00:00:00Z,3800,NA,NA
NA,ACTUAL,actual,2016-12-01T00:00:00Z,4450,NA,NA
NA,ACTUAL,actual,2017-01-01T00:00:00Z,2948,NA,NA
NA,ACTUAL,actual,2017-02-01T00:00:00Z,2614,NA,NA
NA,ACTUAL,actual,2017-03-01T00:00:00Z,4104,NA,NA
NA,ACTUAL,actual,2017-04-01T00:00:00Z,3469,NA,NA
NA,ACTUAL,actual,2017-05-01T00:00:00Z,4105,NA,NA
NA,ACTUAL,actual,2017-06-01T00:00:00Z,4217,NA,NA
NA,ACTUAL,actual,2017-07-01T00:00:00Z,4535,NA,NA
NA,ACTUAL,actual,2017-08-01T00:00:00Z,4834,NA,NA
NA,ACTUAL,actual,2017-09-01T00:00:00Z,4540,NA,NA
NA,ACTUAL,actual,2017-10-01T00:00:00Z,5029,NA,NA
NA,ACTUAL,actual,2017-11-01T00:00:00Z,5472,NA,NA
NA,ACTUAL,actual,2017-12-01T00:00:00Z,6076,NA,NA
NA,ACTUAL,actual,2018-01-01T00:00:00Z,4561,NA,NA
NA,ACTUAL,actual,2018-02-01T00:00:00Z,4040,NA,NA
NA,ACTUAL,actual,2018-03-01T00:00:00Z,5933,NA,NA
NA,ACTUAL,actual,2018-04-01T00:00:00Z,6166,NA,NA
NA,ACTUAL,actual,2018-05-01T00:00:00Z,5626,NA,NA
NA,ACTUAL,actual,2018-06-01T00:00:00Z,5704,NA,NA
NA,ACTUAL,actual,2018-07-01T00:00:00Z,6591,NA,NA
NA,ACTUAL,actual,2018-08-01T00:00:00Z,7457,NA,NA
NA,ACTUAL,actual,2018-09-01T00:00:00Z,6708,NA,NA
NA,ACTUAL,actual,2018-10-01T00:00:00Z,7897,NA,NA
NA,ACTUAL,actual,2018-11-01T00:00:00Z,7680,NA,NA
NA,ACTUAL,actual,2018-12-01T00:00:00Z,7642,NA,NA
NA,ACTUAL,actual,2019-01-01T00:00:00Z,6987,NA,NA
NA,ACTUAL,actual,2019-02-01T00:00:00Z,6876,NA,NA
NA,ACTUAL,actual,2019-03-01T00:00:00Z,7601,NA,NA
NA,ACTUAL,actual,2019-04-01T00:00:00Z,8502,NA,NA
NA,ACTUAL,actual,2019-05-01T00:00:00Z,9128,NA,NA
